Título,Ano,Gêneros,Nota,Votacoes,Metascore
M3GAN,2022,"Horror, Sci-Fi, Thriller",6.4,100375,72
Murder Mystery 2,2023,"Action, Comedy, Crime",5.7,49548,
A Tourist's Guide to Love,2023,"Adventure, Comedy, Romance",5.7,3759,
Girl in the Basement,2021,"Crime, Thriller",6.3,9815,
Winnie the Pooh: Blood and Honey,2023,Horror,3.1,16497,
Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy",7.6,807211,65
Pulp Fiction,1994,"Crime, Drama",8.9,2104484,95
Ponniyin Selvan: Part Two,2023,"Action, Adventure, Drama",8.1,11149,
Ticket to Paradise,2022,"Comedy, Romance",6.1,50730,
Creed III,2023,"Drama, Sport",6.9,55992,73
Smile,2022,"Horror, Mystery, Thriller",6.5,125545,68
The Unbearable Weight of Massive Talent,2022,"Action, Comedy, Crime",7.0,121850,68
Blade Runner 2049,2017,"Action, Drama, Mystery",8.0,601200,81
Top Gun,1986,"Action, Drama",6.9,473163,
Knock at the Cabin,2023,"Horror, Mystery, Thriller",6.1,72187,63
Titanic,1997,"Drama, Romance",7.9,1217042,75
Gladiator,2000,"Action, Adventure, Drama",8.5,1532724,67
Once Upon a Time in Hollywood,2019,"Comedy, Drama",7.6,775287,83
Next Goal Wins,2023,"Comedy, Drama, Sport",,,
Inception,2010,"Action, Adventure, Sci-Fi",8.8,2407029,74
The Dark Knight,2008,"Action, Crime, Drama",9.0,2711601,84
Hereditary,2018,"Drama, Horror, Mystery",7.3,339770,87
Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy",8.2,792359,71
Avengers: Endgame,2019,"Action, Adventure, Drama",8.4,1174969,78
Glass Onion,2022,"Comedy, Crime, Drama",7.1,388638,81
Terrifier 2,2022,Horror,6.2,34230,
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",8.8,1911955,92
The Wolf of Wall Street,2013,"Biography, Comedy, Crime",8.2,1458196,75
Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure, Thriller",,,
Scream 4,2011,"Comedy, Horror, Mystery",6.2,160878,
John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Thriller",7.4,386662,73
The Three Musketeers: D'Artagnan,2023,"Action, Adventure, History",7.1,3857,
Hook,1991,"Adventure, Comedy, Family",6.8,262717,
The Right Stuff,1983,"Adventure, Biography, Drama",7.8,63107,91
Fight Club,1999,Drama,8.8,2180646,66
Sex Drive,2008,"Comedy, Romance",6.5,89346,
Super Mario Bros.,1993,"Adventure, Comedy, Family",4.1,59874,
Wonka,2023,"Adventure, Comedy, Family",,,
Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",6.5,823083,
American Psycho,2000,"Crime, Drama, Horror",7.6,653474,64
The Black Demon,2023,"Horror, Sci-Fi, Thriller",4.1,340,
From Black,2023,Horror,5.0,877,
Black Panther: Wakanda Forever,2022,"Action, Adventure, Drama",6.7,264634,67
Above Suspicion,2019,"Action, Biography, Crime",5.7,7271,
Parasite,2019,"Drama, Thriller",8.5,850231,96
The Kerala Story,2023,"Drama, History",7.8,46093,
Plane,2023,"Action, Adventure, Thriller",6.5,50661,62
Goodfellas,1990,"Biography, Crime, Drama",8.7,1188610,92
The Gray Man,2022,"Action, Thriller",6.5,215932,
Assassin Club,2023,"Action, Thriller",4.6,788,
American Graffiti,1973,"Comedy, Drama",7.4,93350,97
Asteroid City,2023,"Comedy, Romance",,,
Dune,1984,"Action, Adventure, Sci-Fi",6.3,165470,
