Título,Ano,Gêneros,Nota,Votacoes,Metascore
The Usual Suspects,1995,"Crime, Drama, Mystery",8.5,1102602,77
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",7.7,645380,81
Inside Man,2006,"Crime, Drama, Mystery",7.6,382998,76
Pitch Perfect 2,2015,"Comedy, Music",6.4,162675,63
Talk to Me,2022,"Horror, Thriller",7.3,478,72
Jaws,1975,"Adventure, Mystery, Thriller",8.1,622202,87
Split,2016,"Horror, Thriller",7.3,516258,62
Malignant,2021,"Crime, Horror, Mystery",6.2,97425,
Dunkirk,2017,"Action, Drama, History",7.8,680412,94
Office Space,1999,Comedy,7.6,275043,68
The Fate of the Furious,2017,"Action, Crime, Thriller",6.6,239362,
The Avengers,2012,"Action, Sci-Fi",8.0,1413431,69
Cars,2006,"Animation, Adventure, Comedy",7.2,437651,73
Basic Instinct,1992,"Drama, Mystery, Thriller",7.0,207635,
Suicide Squad,2016,"Action, Adventure, Fantasy",5.9,698193,
Bones and All,2022,"Drama, Horror, Romance",6.8,40489,74
The Towering Inferno,1974,"Action, Drama, Thriller",7.0,45908,69
Fast & Furious,2009,"Action, Crime, Thriller",6.5,295252,
Magic Mike's Last Dance,2023,"Comedy, Drama",5.3,9469,
Donnie Darko,2001,"Drama, Mystery, Sci-Fi",8.0,818084,88
National Lampoon's Animal House,1978,Comedy,7.4,125006,79
Come and See,1985,"Drama, Thriller, War",8.4,85362,
There Will Be Blood,2007,Drama,8.2,601078,93
Green Book,2018,"Biography, Comedy, Drama",8.2,516897,69
Aquaman,2018,"Action, Adventure, Fantasy",6.8,489872,
Last Night in Soho,2021,"Drama, Horror, Mystery",7.0,149335,65
A Time to Kill,1996,"Crime, Drama, Thriller",7.5,168905,
Point Break,1991,"Action, Crime, Thriller",7.2,190965,
Kill Bill: Vol. 1,2003,"Action, Crime, Drama",8.2,1138511,69
Heatwave,2022,Thriller,5.0,1109,
Batman,1989,"Action, Adventure",7.5,386457,69
The Boogeyman,2023,"Horror, Mystery, Thriller",,,
Jumanji: Welcome to the Jungle,2017,"Action, Adventure, Comedy",6.9,395663,
300,2006,"Action, Drama",7.6,835269,
Superbad,2007,Comedy,7.6,598674,76
Black Widow,2021,"Action, Adventure, Sci-Fi",6.7,395303,68
Alice in Wonderland,2010,"Adventure, Family, Fantasy",6.4,424724,
The Hunger Games: Mockingjay - Part 2,2015,"Action, Adventure, Sci-Fi",6.5,342077,65
"Salò, or the 120 Days of Sodom",1975,Drama,5.8,62656,
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family",6.7,495738,72
The Terminator,1984,"Action, Sci-Fi",8.1,883634,84
Peter Pan,1953,"Animation, Adventure, Family",7.3,145835,76
Alien: Covenant,2017,"Horror, Sci-Fi, Thriller",6.4,289147,65
Murder on the Orient Express,2017,"Crime, Drama, Mystery",6.5,268121,
Weird: The Al Yankovic Story,2022,"Comedy, Crime, Music",6.9,29034,70
Godzilla vs. Kong,2021,"Action, Sci-Fi, Thriller",6.3,219002,
Moneyball,2011,"Biography, Drama, Sport",7.6,438146,87
Insidious: The Red Door,2023,"Horror, Mystery, Thriller",,,
The Bubble,2022,Comedy,4.7,26615,
Women Talking,2022,Drama,6.9,29341,79
The Truman Show,1998,"Comedy, Drama",8.2,1113885,90
Deliverance,1972,"Adventure, Drama, Thriller",7.7,113911,80
Psycho,1960,"Horror, Mystery, Thriller",8.5,686178,97
The Hunger Games: Mockingjay - Part 1,2014,"Action, Adventure, Sci-Fi",6.6,470627,64
The VVitch: A New-England Folktale,2015,"Drama, Fantasy, Horror",6.9,275804,83
The Hunt,2012,Drama,8.3,340424,77
Logan,2017,"Action, Drama, Sci-Fi",8.1,785244,77
City of God,2002,"Crime, Drama",8.6,769514,79
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",7.7,343869,86
Pearl Harbor,2001,"Action, Drama, History",6.2,340339,
La La Land,2016,"Comedy, Drama, Music",8.0,613558,94
Nymphomaniac: Vol. I,2013,Drama,6.9,127394,64
Beauty and the Beast,2017,"Adventure, Family, Fantasy",7.1,318267,65
Braveheart,1995,"Biography, Drama, History",8.4,1054106,68
Ocean's Eight,2018,"Action, Comedy, Crime",6.3,228595,61
Ratatouille,2007,"Animation, Adventure, Comedy",8.1,763656,96
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",8.8,1699895,87
Elemental,2023,"Animation, Adventure, Comedy",,,
Jojo Rabbit,2019,"Comedy, Drama, War",7.9,408733,
Full Metal Jacket,1987,"Drama, War",8.3,757206,78
Face/Off,1997,"Action, Crime, Sci-Fi",7.3,386716,82
The Big Short,2015,"Biography, Comedy, Drama",7.8,445743,81
White Men Can't Jump,2023,"Comedy, Drama, Sport",,,
American Gangster,2007,"Biography, Crime, Drama",7.8,435760,76
Valerian and the City of a Thousand Planets,2017,"Action, Adventure, Fantasy",6.4,187859,
Chokehold,2023,"Drama, Thriller",5.8,2993,
The Irishman,2019,"Biography, Crime, Drama",7.8,402376,94
Ghostbusters: Afterlife,2021,"Adventure, Comedy, Fantasy",7.1,191574,
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",8.1,524745,88
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Family, Fantasy",8.1,898391,85
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",8.6,1120808,75
Starship Troopers,1997,"Action, Adventure, Sci-Fi",7.3,304190,
Snatch,2000,"Comedy, Crime",8.2,872404,
"The Good, the Bad and the Ugly",1966,"Adventure, Western",8.8,775694,90
Jumanji,1995,"Adventure, Comedy, Family",7.0,357416,
American Sniper,2014,"Action, Biography, Drama",7.3,501745,72
Dirty Dancing,1987,"Drama, Music, Romance",7.0,242037,65
Boogie Nights,1997,Drama,7.9,272249,85
We Have a Ghost,2023,"Adventure, Comedy, Family",6.1,25459,
Casino,1995,"Crime, Drama",8.2,533374,73
Batman Begins,2005,"Action, Crime, Drama",8.2,1500010,70
Mortal Kombat,2021,"Action, Adventure, Fantasy",6.0,180344,
The Cabin in the Woods,2011,"Horror, Mystery, Thriller",7.0,430108,72
Reservoir Dogs,1992,"Crime, Thriller",8.3,1040825,81
Booksmart,2019,Comedy,7.1,124013,84
Hamilton,2020,"Biography, Drama, History",8.3,100882,89
The Voyeurs,2021,"Drama, Mystery, Thriller",6.0,25051,
The Ballad of Buster Scruggs,2018,"Comedy, Drama, Musical",7.3,155287,79
Dead Poets Society,1989,"Comedy, Drama",8.1,508205,79
Brokeback Mountain,2005,"Drama, Romance",7.7,366897,87
The Magnificent Seven,2016,"Action, Adventure, Drama",6.8,218635,
Terrifier,2016,"Horror, Thriller",5.6,41453,
Malena,2000,"Drama, Romance, War",7.4,106558,
Sid Is Dead,2023,"Comedy, Drama",5.6,173,
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",7.9,653956,82
Bed Rest,2022,"Drama, Horror, Mystery",5.1,1622,
Prey,2022,"Action, Adventure, Drama",7.1,206007,71
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy",7.4,400406,71
Uncut Gems,2019,"Crime, Drama, Thriller",7.4,295807,91
Zodiac,2007,"Crime, Drama, Mystery",7.7,560127,79
Kingsman: The Golden Circle,2017,"Action, Adventure, Comedy",6.7,342213,
The Lost City,2022,"Action, Adventure, Comedy",6.1,133490,
White Noise,2022,"Comedy, Drama, Horror",5.7,38303,66
Fast Times at Ridgemont High,1982,"Comedy, Drama",7.1,109367,61
The Quiet Girl,2022,Drama,7.7,12928,89
Magnolia,1999,Drama,8.0,318935,78
Licorice Pizza,2021,"Comedy, Drama, Romance",7.2,126852,90
American History X,1998,"Crime, Drama",8.5,1141355,62
Fury,2014,"Action, Drama, War",7.5,510663,64
Fighting with My Family,2019,"Biography, Comedy, Drama",7.1,84240,68
Apocalypto,2006,"Action, Adventure, Drama",7.8,319613,68
Fargo,1996,"Crime, Thriller",8.1,691485,86
After We Collided,2020,"Drama, Romance",5.0,34267,
Romeo + Juliet,1996,"Drama, Romance",6.7,235402,
Superman,1978,"Action, Adventure, Sci-Fi",7.4,180223,82
Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy",7.9,244249,83
The Nice Guys,2016,"Action, Comedy, Crime",7.3,341358,70
Draft Day,2014,"Drama, Sport",6.8,63297,
The Fast and the Furious: Tokyo Drift,2006,"Action, Crime, Thriller",6.0,281013,
Pan,2015,"Action, Adventure, Comedy",5.7,65785,
The Sixth Sense,1999,"Drama, Mystery, Thriller",8.2,1009398,64
Gods of Egypt,2016,"Action, Adventure, Drama",5.4,120742,
Black Panther,2018,"Action, Adventure, Sci-Fi",7.3,800066,88
The Amazing Spider-Man,2012,"Action, Adventure, Sci-Fi",6.9,670938,66
West Side Story,2021,"Crime, Drama, Musical",7.2,88105,85
Once Upon a Time in America,1984,"Crime, Drama",8.3,359503,75
Wanted,2008,"Action, Crime, Thriller",6.7,397295,64
Cinderella,2015,"Adventure, Drama, Family",6.9,182078,67
Monamour,2005,Drama,5.2,5780,
Mid90s,2018,"Comedy, Drama",7.3,70827,66
The Son,2022,Drama,6.3,7605,
The Guilty,2021,"Crime, Drama, Thriller",6.3,134544,63
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"Animation, Action, Adventure",,,
The Little Mermaid,1989,"Animation, Adventure, Family",7.6,272128,88
Time Trap,2017,"Action, Adventure, Mystery",6.2,39619,
Man of Steel,2013,"Action, Adventure, Sci-Fi",7.1,785077,
The Family That Preys,2008,Drama,5.9,7537,
12 Strong,2018,"Action, Drama, History",6.5,85817,
Ant-Man,2015,"Action, Comedy, Sci-Fi",7.3,690768,64
Almost Famous,2000,"Adventure, Comedy, Drama",7.9,283104,90
Harry Potter and the Chamber of Secrets,2002,"Adventure, Family, Fantasy",7.4,654915,63
You People,2023,"Comedy, Romance",5.5,55534,
Mamma Mia!,2008,"Comedy, Musical, Romance",6.5,255760,
Alita: Battle Angel,2019,"Action, Adventure, Sci-Fi",7.3,278157,
Lucy,2014,"Action, Sci-Fi, Thriller",6.4,510776,61
Insidious,2010,"Horror, Mystery, Thriller",6.8,318078,
Ferris Bueller's Day Off,1986,Comedy,7.8,368734,61
Baby Driver,2017,"Action, Crime, Drama",7.6,564518,86
Fantastic Beasts: The Secrets of Dumbledore,2022,"Adventure, Family, Fantasy",6.2,152146,
Crazy Rich Asians,2018,"Comedy, Drama, Romance",6.9,179790,74
Sonic the Hedgehog 2,2022,"Action, Adventure, Comedy",6.5,74234,
A Thousand and One,2023,"Crime, Drama",7.1,2005,81
Rocky,1976,"Drama, Sport",8.1,596917,70
Jumanji: The Next Level,2019,"Action, Adventure, Comedy",6.7,262436,
Jeanne du Barry,2023,"Biography, Drama, History",,,
Conan the Destroyer,1984,"Action, Adventure, Fantasy",5.9,82597,
The Lorax,2012,"Animation, Adventure, Comedy",6.4,119766,
Space Oddity,2022,"Comedy, Romance, Sci-Fi",5.5,518,
Red Sparrow,2018,"Action, Drama, Thriller",6.6,192129,
Blue Is the Warmest Colour,2013,"Drama, Romance",7.7,156906,90
Pathaan,2023,"Action, Adventure, Thriller",6.0,138651,
Capernaum,2018,Drama,8.4,94757,75
About Time,2013,"Comedy, Drama, Fantasy",7.8,363538,
The Lobster,2015,"Drama, Romance, Sci-Fi",7.1,268858,82
Independence Day,1996,"Action, Adventure, Sci-Fi",7.0,585668,
The Great Gatsby,2013,"Drama, Romance",7.2,564164,
Zootopia,2016,"Animation, Adventure, Comedy",8.0,514904,78
Coco,2017,"Animation, Adventure, Comedy",8.4,531704,81
Into the Wild,2007,"Adventure, Biography, Drama",8.1,634139,73
A Quiet Place,2018,"Drama, Horror, Sci-Fi",7.5,547722,82
Come September,1961,"Comedy, Romance",6.9,3852,
The Passion of the Christ,2004,Drama,7.2,239789,
MaXXXine,,Horror,,,
Love Actually,2003,"Comedy, Drama, Romance",7.6,502925,
Saw,2004,"Horror, Mystery, Thriller",7.6,434329,
Dungeons & Dragons,2000,"Action, Adventure, Fantasy",3.6,34983,
Howl's Moving Castle,2004,"Animation, Adventure, Family",8.2,410365,82
Pleasure,2021,Drama,6.4,19337,75
Pretty Woman,1990,"Comedy, Romance",7.1,336580,
Knight and Day,2010,"Action, Adventure, Comedy",6.3,202050,
Ad Astra,2019,"Adventure, Drama, Mystery",6.5,245696,80
The Devil's Advocate,1997,"Drama, Mystery, Thriller",7.5,383689,
The Parent Trap,1998,"Adventure, Comedy, Drama",6.6,144544,64
X-Men,2000,"Action, Adventure, Sci-Fi",7.3,626522,64
Thor: Ragnarok,2017,"Action, Adventure, Comedy",7.9,773610,74
The Last Duel,2021,"Action, Drama, History",7.4,164961,67
Wildflower,2022,"Comedy, Drama",6.5,557,
Watchmen,2009,"Action, Drama, Mystery",7.6,562106,
Shrek,2001,"Animation, Adventure, Comedy",7.9,698078,84
The Platform,2019,"Horror, Sci-Fi, Thriller",7.0,243576,73
Aladdin,2019,"Adventure, Comedy, Family",6.9,274715,
Irreversible,2002,"Crime, Drama, Mystery",7.3,140346,
Sin City,2005,"Crime, Thriller",8.0,778452,74
Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi",7.9,697687,71
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",7.8,842893,
Argo,2012,"Biography, Drama, Thriller",7.7,624039,86
Little Miss Sunshine,2006,"Comedy, Drama",7.8,494417,80
Batman Returns,1992,"Action, Crime, Fantasy",7.1,313142,68
The Town,2010,"Crime, Drama, Thriller",7.5,400642,74
The Snowman,2017,"Crime, Drama, Thriller",5.1,68343,
Coraline,2009,"Animation, Drama, Family",7.7,242012,80
Guillermo del Toro's Pinocchio,2022,"Animation, Drama, Family",7.6,97771,79
Fear,2023,Horror,3.4,684,
The King,2019,"Biography, Drama, History",7.3,138006,62
The Stranger,2022,"Crime, Drama, Thriller",6.6,20852,74
The Bad Batch,2016,"Action, Horror, Mystery",5.2,33485,62
A Quiet Place Part II,2020,"Drama, Horror, Sci-Fi",7.2,246336,71
Event Horizon,1997,"Horror, Sci-Fi, Thriller",6.6,187619,
The Perks of Being a Wallflower,2012,Drama,7.9,525433,67
The Equalizer 2,2018,"Action, Crime, Thriller",6.7,168738,
Inside Out,2015,"Animation, Adventure, Comedy",8.1,734199,94
Road House,1989,"Action, Thriller",6.7,79994,
A Beautiful Mind,2001,"Biography, Drama",8.2,948730,72
After Ever Happy,2022,"Drama, Romance",4.5,7542,
Martyrs,2008,Horror,7.0,99348,
Die Hard,1988,"Action, Thriller",8.2,899908,72
Primal Fear,1996,"Crime, Drama, Mystery",7.7,231266,
Exodus: Gods and Kings,2014,"Action, Adventure, Drama",6.0,172624,
Poor Things,2023,"Romance, Sci-Fi",,,
Transformers: The Last Knight,2017,"Action, Adventure, Sci-Fi",5.2,157516,
Lady Chatterley's Lover,2022,"Drama, Romance",6.6,18667,67
White Chicks,2004,"Comedy, Crime",5.7,152581,
The In-Laws,1979,"Action, Adventure, Comedy",7.3,9274,69
Les Misérables,2012,"Drama, Musical, Romance",7.5,336053,63
Atonement,2007,"Drama, Mystery, Romance",7.8,286842,85
Friends with Benefits,2011,"Comedy, Romance",6.5,379083,63
House of Gucci,2021,"Biography, Crime, Drama",6.6,145074,
It Chapter Two,2019,"Drama, Fantasy, Horror",6.5,279001,
Vicky Cristina Barcelona,2008,"Comedy, Drama, Romance",7.1,261037,70
Thirteen,2003,Drama,6.8,92742,70
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",7.8,473503,71
Clueless,1995,"Comedy, Romance",6.9,228859,68
"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime",8.1,594125,66
Ballerina,2024,"Action, Thriller",,,
Airplane!,1980,Comedy,7.7,248044,78
Infinite,2021,"Action, Sci-Fi, Thriller",5.4,55134,
Casino Royale,2006,"Action, Adventure, Thriller",8.0,669945,80
Unforgiven,1992,"Drama, Western",8.2,420104,85
Bring It On,2000,"Comedy, Romance, Sport",6.1,100005,
Ready or Not,2019,"Action, Comedy, Horror",6.8,162806,64
Sonic the Hedgehog,2020,"Action, Adventure, Comedy",6.5,146970,
Annie,1982,"Comedy, Drama, Family",6.6,47293,
We Need to Talk About Kevin,2011,"Drama, Mystery, Thriller",7.5,160323,68
Downfall,2004,"Biography, Drama, History",8.2,361819,82
Shotgun Wedding,2022,"Action, Comedy, Romance",5.4,30529,
Mummies,2023,"Animation, Comedy, Family",5.8,4616,
Sinister,2012,"Horror, Mystery, Thriller",6.8,262742,
Hidden Figures,2016,"Biography, Drama, History",7.8,239995,74
Annihilation,2018,"Adventure, Drama, Horror",6.8,338332,79
Cast Away,2000,"Adventure, Drama, Romance",7.8,608103,73
Contact,1997,"Drama, Mystery, Sci-Fi",7.5,282122,62
Beautiful Boy,2018,"Biography, Drama",7.3,85958,62
Venom,2018,"Action, Adventure, Sci-Fi",6.6,503550,
Nightcrawler,2014,"Crime, Drama, Thriller",7.8,567837,76
The Intern,2015,"Comedy, Drama",7.1,259914,
Dances with Wolves,1990,"Adventure, Drama, Western",8.0,275745,72
In Bruges,2008,"Comedy, Crime, Drama",7.9,444550,67
The Intouchables,2011,"Biography, Comedy, Drama",8.5,879552,
The Incredibles,2004,"Animation, Action, Adventure",8.0,759262,90
Scary Movie,2000,Comedy,6.2,270692,
The Social Network,2010,"Biography, Drama",7.8,721703,95
The Power of the Dog,2021,"Drama, Western",6.8,182145,89
The Lighthouse,2019,"Drama, Fantasy, Mystery",7.4,230231,83
Furious 7,2015,"Action, Crime, Thriller",7.1,398249,67
Toy Story,1995,"Animation, Adventure, Comedy",8.3,1015640,96
Home Alone,1990,"Comedy, Family",7.7,603308,63
Dawn of the Dead,2004,"Action, Horror",7.3,261900,
Boss Level,2020,"Action, Adventure, Comedy",6.8,72408,
The School for Good and Evil,2022,"Action, Comedy, Drama",5.8,31161,
Escape Room,2019,"Action, Adventure, Horror",6.4,130012,
Spotlight,2015,"Biography, Crime, Drama",8.1,481245,93
The Guest,2014,Thriller,6.7,103053,76
Finding Nemo,2003,"Animation, Adventure, Comedy",8.2,1064301,90
True Romance,1993,"Crime, Drama, Romance",7.9,232833,
Divergent,2014,"Action, Adventure, Mystery",6.6,470924,
Caligula,1979,"Drama, History",5.3,36897,
Incendies,2010,"Drama, Mystery",8.3,183322,80
It Follows,2014,"Horror, Mystery, Thriller",6.8,252073,83
To Kill a Mockingbird,1962,"Crime, Drama",8.3,321752,88
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action, Adventure, Fantasy",6.5,323562,
Life Is Beautiful,1997,"Comedy, Drama, Romance",8.6,709721,
Star Trek,2009,"Action, Adventure, Sci-Fi",7.9,609811,82
The Man from U.N.C.L.E.,2015,"Action, Adventure, Comedy",7.2,319156,
Paradise City,2022,"Action, Thriller",3.6,1814,
Trainspotting,1996,Drama,8.1,700000,83
Red Notice,2021,"Action, Comedy, Thriller",6.3,289588,
Lie with Me,2005,"Drama, Romance",5.2,16063,
She Said,2022,"Drama, History",7.2,26806,74
The Green Knight,2021,"Adventure, Drama, Fantasy",6.6,107025,85
Love & Other Drugs,2010,"Comedy, Drama, Romance",6.7,210812,
The Wonder,2022,"Drama, Mystery, Thriller",6.6,36930,71
The Maze Runner,2014,"Action, Mystery, Sci-Fi",6.8,482540,
Tag,2018,"Action, Comedy",6.5,139151,
Marlowe,2022,"Crime, Mystery, Thriller",5.3,5437,
The Count of Monte Cristo,2002,"Action, Adventure, Drama",7.7,142302,61
Just Go with It,2011,"Comedy, Romance",6.4,252789,
Extraction,2020,"Action, Thriller",6.7,213228,
Gangs of New York,2002,"Crime, Drama",7.5,453358,72
The Devil Wears Prada,2006,"Comedy, Drama",6.9,434158,62
Pig,2021,"Drama, Mystery",6.9,80913,82
The Killing Fields,1984,"Biography, Drama, History",7.8,57137,76
Final Destination,2000,"Horror, Thriller",6.7,264865,
Men,2022,"Drama, Fantasy, Horror",6.1,50666,65
Rebel Moon,2023,"Action, Adventure, Drama",,,
The Jungle Book,2016,"Adventure, Drama, Family",7.4,283008,77
Hercules,1997,"Animation, Adventure, Comedy",7.3,240268,74
Erin Brockovich,2000,"Biography, Drama",7.4,206398,73
The Thing,2011,"Horror, Mystery, Sci-Fi",6.2,139147,
Man on Fire,2004,"Action, Crime, Drama",7.7,371377,
Chitty Chitty Bang Bang,1968,"Adventure, Family, Fantasy",6.9,48023,64
The Ritual Killer,2023,"Crime, Mystery, Thriller",4.4,3102,
Heavenly Creatures,1994,"Biography, Crime, Drama",7.3,65513,86
2 Fast 2 Furious,2003,"Action, Crime, Thriller",5.9,281630,
Bridesmaids,2011,"Comedy, Romance",6.8,298730,75
Apollo 13,1995,"Adventure, Drama, History",7.7,302779,77
Mission: Impossible,1996,"Action, Adventure, Thriller",7.1,437656,
Traffic,2000,"Crime, Drama, Thriller",7.6,212420,86
Destroy All Monsters,1968,"Action, Adventure, Sci-Fi",6.4,6867,
The Devil All the Time,2020,"Crime, Drama, Thriller",7.1,141879,
The Offering,2022,Horror,5.2,3543,
Passengers,2016,"Drama, Romance, Sci-Fi",7.0,420376,
Ponniyin Selvan: Part I,2022,"Action, Adventure, Drama",7.7,33263,
Enemy,2013,"Drama, Mystery, Thriller",6.9,201397,61
Gifted,2017,Drama,7.6,122295,
Happy Gilmore,1996,"Comedy, Sport",7.0,234580,
Frozen,2013,"Animation, Adventure, Comedy",7.4,638365,75
Secretary,2002,"Comedy, Drama, Romance",6.9,94420,63
The Bad Guys,2022,"Animation, Adventure, Comedy",6.8,48002,64
Us,2019,"Horror, Mystery, Thriller",6.8,314245,81
Army of the Dead,2021,"Action, Crime, Drama",5.7,177967,
This Is 40,2012,"Comedy, Drama, Romance",6.2,146042,
Tusk,2014,"Comedy, Horror",5.3,58078,
Wonder,2017,"Drama, Family",7.9,169993,66
Carrie,1976,"Horror, Mystery",7.4,194376,86
Emily the Criminal,2022,"Crime, Drama, Thriller",6.7,41877,75
Smokey and the Bandit,1977,"Action, Adventure, Comedy",7.0,53729,
Platoon,1986,"Drama, War",8.1,422637,92
Cruella,2021,"Adventure, Comedy, Crime",7.3,244014,
Blue Velvet,1986,"Crime, Drama, Mystery",7.7,205693,76
Tomorrowland,2015,"Action, Adventure, Family",6.4,186006,
Knowing,2009,"Action, Mystery, Sci-Fi",6.2,239943,
Casablanca,1942,"Drama, Romance, War",8.5,582433,100
Freaky,2020,"Comedy, Horror, Thriller",6.3,64511,67
Showgirls,1995,"Adult, Drama",5.0,70558,
The Revenant,2015,"Action, Adventure, Drama",8.0,826068,76
Twisters,2024,"Action, Adventure, Thriller",,,
Taken,2008,"Action, Crime, Thriller",7.8,613777,
Kill Boksoon,2023,"Action, Thriller",6.6,7794,67
A Knight's Tale,2001,"Action, Adventure, Romance",6.9,193015,
Oldboy,2013,"Action, Drama, Mystery",5.8,78093,
The Eight Mountains,2022,Drama,7.8,5242,79
The Mask,1994,"Action, Comedy, Crime",6.9,398173,
Thor,2011,"Action, Fantasy",7.0,866311,
Captain Marvel,2019,"Action, Adventure, Sci-Fi",6.8,577549,64
Identity,2003,"Mystery, Thriller",7.3,255961,64
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",7.8,666645,70
13 Hours,2016,"Action, Drama, History",7.3,149795,
The Outfit,2022,"Crime, Drama, Mystery",7.2,52974,69
Asterix & Obelix: The Middle Kingdom,2023,"Adventure, Comedy, Family",4.8,3057,
Flight,2012,"Drama, Thriller",7.3,362827,76
Fantastic Four,2025,"Action, Adventure, Sci-Fi",,,
The Adam Project,2022,"Action, Adventure, Comedy",6.7,212938,
Closer,2004,"Drama, Romance",7.2,226867,65
Clue,1985,"Comedy, Crime, Mystery",7.2,101857,
The Warriors,1979,"Action, Crime, Thriller",7.6,105836,65
Million Dollar Baby,2004,"Drama, Sport",8.1,699005,86
Me Before You,2016,"Drama, Romance",7.4,265688,
Roald Dahl's Matilda the Musical,2022,"Comedy, Drama, Family",7.1,22734,72
Always Be My Maybe,2019,"Comedy, Romance",6.7,59510,64
The Lovely Bones,2009,"Drama, Fantasy, Thriller",6.6,173704,
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",7.7,566474,65
L.A. Confidential,1997,"Crime, Drama, Mystery",8.2,592245,91
El Camino: A Breaking Bad Movie,2019,"Action, Crime, Drama",7.3,265936,72
About a Boy,2002,"Comedy, Drama, Romance",7.1,187469,75
The Killing of a Sacred Deer,2017,"Drama, Horror, Mystery",7.0,163645,73
About My Father,2023,Comedy,,,
Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",7.3,883454,66
Ghostbusters,1984,"Action, Comedy, Fantasy",7.8,424949,71
Crash,1996,Drama,6.4,63232,
Ocean's Eleven,2001,"Crime, Thriller",7.7,590078,74
Nocturnal Animals,2016,"Drama, Thriller",7.5,288776,67
The Descent,2005,"Adventure, Horror, Thriller",7.2,232676,71
Nightmare Alley,2021,"Crime, Drama, Thriller",7.0,152429,70
X-Men: Apocalypse,2016,"Action, Adventure, Sci-Fi",6.9,445065,
Coherence,2013,"Drama, Mystery, Sci-Fi",7.2,135458,65
Kung Fu Panda,2008,"Animation, Action, Adventure",7.6,487364,74
Scent of a Woman,1992,Drama,8.0,308971,
Thunderbolts,2024,"Action, Adventure, Crime",,,
Battleship,2012,"Action, Adventure, Sci-Fi",5.8,251948,
Teen Wolf: The Movie,2023,"Action, Drama, Fantasy",5.5,11663,
Looper,2012,"Action, Drama, Sci-Fi",7.4,586259,84
Jerry and Marge Go Large,2022,"Biography, Comedy, Drama",6.9,17057,
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",8.1,929943,79
Hellraiser,2022,"Horror, Mystery, Thriller",6.0,41253,
Constantine,2005,"Action, Fantasy, Horror",7.0,357500,
Crimes of the Future,2022,"Drama, Horror, Sci-Fi",5.9,34544,67
Zero Dark Thirty,2012,"Drama, History, Thriller",7.4,308615,95
Pacific Rim,2013,"Action, Adventure, Sci-Fi",6.9,512351,65
Cliffhanger,1993,"Action, Adventure, Thriller",6.5,134160,
U Turn,2023,"Crime, Drama, Horror",7.3,2779,
See How They Run,2022,"Comedy, Crime, Mystery",6.5,54603,
Your Place or Mine,2023,"Comedy, Romance",5.6,31819,
Vengeance,2022,"Comedy, Music, Mystery",6.8,26645,65
The Princess Diaries,2001,"Comedy, Family, Romance",6.4,153216,
Devotion,2022,"Action, Drama, War",6.6,21259,66
Jack Reacher,2012,"Action, Mystery, Thriller",7.0,349277,
Unfaithful,2002,"Drama, Romance, Thriller",6.7,92587,63
The Birds,1963,"Drama, Horror, Mystery",7.6,195568,90
The Mist,2007,"Horror, Sci-Fi, Thriller",7.1,321855,
Tropic Thunder,2008,"Action, Comedy, War",7.1,428465,71
The Wedding Singer,1998,"Comedy, Music, Romance",6.9,155648,
Moonrise Kingdom,2012,"Comedy, Drama, Family",7.8,356461,84
Easy A,2010,"Comedy, Drama, Romance",7.0,401032,72
Wild Things,1998,"Crime, Drama, Mystery",6.6,124704,
Kingdom of Heaven,2005,"Action, Adventure, Drama",7.2,296299,63
Beast,2022,"Action, Adventure, Drama",5.6,33466,
In Time,2011,"Action, Sci-Fi, Thriller",6.7,422150,
Morbius,2022,"Action, Adventure, Horror",5.2,136036,
Tangled,2010,"Animation, Adventure, Comedy",7.7,467861,71
Fast Five,2011,"Action, Crime, Thriller",7.3,389704,66
TRON: Legacy,2010,"Action, Adventure, Sci-Fi",6.8,344916,
Wonder Woman,2017,"Action, Adventure, Fantasy",7.4,673134,76
Caddyshack,1980,"Comedy, Sport",7.2,122021,
How to Train Your Dragon,2010,"Animation, Action, Adventure",8.1,759419,75
Indiana Jones and the Temple of Doom,1984,"Action, Adventure",7.5,502370,
Ved,2022,"Drama, Romance",7.4,3399,
Ted,2012,Comedy,6.9,628383,62
